1-1. 現在の職種を教えて下さい,,1-2. 現在の職種を教えて下さい,,1-3. 現在の職種を教えて下さい,,1-4. 現在の職種を教えて下さい,,1-5. 現在の職種を教えて下さい,,1-6. 現在の職種を教えて下さい,,1-7. 現在の職種を教えて下さい,,1-8. 現在の職種を教えて下さい,,1-9. 現在の職種を教えて下さい,,1-10. 現在の職種を教えて下さい,,1-11. 現在の職種を教えて下さい,,1-12. 現在の職種を教えて下さい,,1-13. 現在の職種を教えて下さい,,1-14. 現在の職種を教えて下さい,,2. 仕事が機械に奪われるという危機感を感じるか,,3. 具体的にはどのような仕事か
,,,,,,,,5,Web・インターネット・ゲーム ,,,,,,,,,,,,,,,,,,,1,感じている,"文章を書いています。
そのうち人工知能が文章を書くなんて簡単になってしまうと思うからです。"
,,,,,,4,サービス・販売・外食 ,,,,,,,,,,,,,,,,,,,,,3,どちらかと言えば感じていない,品出しをしたり、レジ打ち
,,2,事務・管理,,,,,,,,,,,,,,,,,,,,,,,,,2,どちらかと言えば感じている,生産工程のスケジュール管理。
,,,,,,,,,,,,,,,,,,,,,,,,13,技能工・設備・交通・運輸,,,2,どちらかと言えば感じている,AIの進化やロボット産業が一般化されれば技能職の人材は必要最小限に減るような気がします。
,,,,3,企画・マーケティング・経営・管理職 ,,,,,,,,,,,,,,,,,,,,,,,2,どちらかと言えば感じている,音楽制作や作曲家のマネジメントの仕事をしているが、いずれAIが作曲するということも起こりうる。
,,,,,,4,サービス・販売・外食 ,,,,,,,,,,,,,,,,,,,,,2,どちらかと言えば感じている,大手回転寿司のように、他の飲食店でも注文から配膳まで機械で行われるようになると思います。
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,2,どちらかと言えば感じている,スーパーのレジ、映画館のチケット売り場
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,2,どちらかと言えば感じている,"レジ
もう既に無人レジが増えてきている"
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,2,どちらかと言えば感じている,計算をともなうような事務などの仕事。
,,,,,,4,サービス・販売・外食 ,,,,,,,,,,,,,,,,,,,,,4,感じていない,サービス業、接客飲み屋なので機械としゃべっててもつまらないと思うので。
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,2,どちらかと言えば感じている,お店の案内を機械が行なっている仕事
,,,,,,,,,,,,,,,,,,,,11,医療・福祉・介護 ,,,,,,,4,感じていない,要支援や要介護の方の運動機能の向上を目的とした体操や、マシンの指導など。
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,4,感じていない,障害のある子供の放課後デイサービスのお手伝い
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,3,どちらかと言えば感じていない,相談をしに来られた方のお話を、ゆっくりと心から納得していただけるまで聞くことを基本としてしている仕事です。
,,2,事務・管理,,,,,,,,,,,,,,,,,,,,,,,,,2,どちらかと言えば感じている,エクセルなど、PCを用いた仕事
1,営業,,,,,,,,,,,,,,,,,,,,,,,,,,,3,どちらかと言えば感じていない,企業を直接訪問して、人間の担当者とやり取りをしながら商品を提案して売るという仕事は、人工知能に奪われることは無いと思います。しかし、適切な提案内容の作成や、効率の良い販売商品の選定には人工知能が入り込む余地はあると思います。でもそれは、人工知能に仕事を奪われるというよりは、人工知能を有効活用するというイメージです。
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,2,どちらかと言えば感じている,テレビで観ているだけですが、ロボットなどが作業が出来るようになったり、人間同様の仕事をこなしているのを見ると、そのぶんそれまでその仕事をしていた人はどうしているのかと、一抹の不安な気持ちになります。
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,1,感じている,システムとかですね。FXや株の自動売買や最先端医療技術です。人間では手の届かない仕事とか感情とか必要ない仕事です。
,,,,,,4,サービス・販売・外食 ,,,,,,,,,,,,,,,,,,,,,4,感じていない,アクセサリーのデザイン、販売。
,,,,,,4,サービス・販売・外食 ,,,,,,,,,,,,,,,,,,,,,4,感じていない,お客様のお肌をカウンセリングし、化粧品販売とエステをする仕事です。
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,2,どちらかと言えば感じている,工場での単純作業や、会社の簡単な事務作業など、今まで比較的スキルがいらなかったような仕事。
,,2,事務・管理,,,,,,,,,,,,,,,,,,,,,,,,,2,どちらかと言えば感じている,経費精算の仕事。
1,営業,,,,,,,,,,,,,,,,,,,,,,,,,,,3,どちらかと言えば感じていない,人材コンサルティング営業
,,2,事務・管理,,,,,,,,,,,,,,,,,,,,,,,,,3,どちらかと言えば感じていない,手書き注文書のデータ入力、修正
,,,,,,4,サービス・販売・外食 ,,,,,,,,,,,,,,,,,,,,,4,感じていない,コールセンターのオペレーター
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,3,どちらかと言えば感じていない,レジ打ち
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,2,どちらかと言えば感じている,「サービス業」と呼ばれている人が人に奉仕できる仕事。
,,2,事務・管理,,,,,,,,,,,,,,,,,,,,,,,,,3,どちらかと言えば感じていない,決められたルールや作業の範囲から外れた庶雑務が多い。
,,2,事務・管理,,,,,,,,,,,,,,,,,,,,,,,,,2,どちらかと言えば感じている,データ入力等の簡単な仕事
,,,,,,,,,,,,,,,,,,,,,,,,13,技能工・設備・交通・運輸,,,2,どちらかと言えば感じている,工場の組み立て現場が機械での作業のところ。
,,2,事務・管理,,,,,,,,,,,,,,,,,,,,,,,,,3,どちらかと言えば感じていない,レジ会計の代わり
,,2,事務・管理,,,,,,,,,,,,,,,,,,,,,,,,,2,どちらかと言えば感じている,経理業務の伝票の入力・作成作業はいずれＡＩに置き換わっていくと感じている。
,,2,事務・管理,,,,,,,,,,,,,,,,,,,,,,,,,3,どちらかと言えば感じていない,事務
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,3,どちらかと言えば感じていない,クラウドワーカー
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,2,どちらかと言えば感じている,工場のライン、受付や事務職
,,,,,,,,,,,,,,,,,,10,素材・化学・食品・医薬品技術職 ,,,,,,,,,2,どちらかと言えば感じている,FRPによる製品の製造
,,,,,,,,,,6,クリエイティブ（メディア・アパレル・デザイン） ,,,,,,,,,,,,,,,,,2,どちらかと言えば感じている,ウェブ記事の添削の仕事（校正・校閲など）をしているのですが、そのうちAI(人工知能)が全てこなしてしまいそうで、不安です。
,,2,事務・管理,,,,,,,,,,,,,,,,,,,,,,,,,4,感じていない,病院の事務
,,,,,,4,サービス・販売・外食 ,,,,,,,,,,,,,,,,,,,,,3,どちらかと言えば感じていない,車の修理・改造を行っていますが、人の感性が大事なのでAIにはまだできないと思います。
1,営業,,,,,,,5,Web・インターネット・ゲーム ,,,,,,,,,,,,,,,,,,,4,感じていない,"法人、個人事業主向けの広告（チラシ、パンフレット、HP制作などの）の営業をしています。
商談や打ち合わせなどの対話がメインなので、機会に奪われるとは思っていません。"
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,2,どちらかと言えば感じている,公務員、医師、コンサルタント
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,4,感じていない,"主にクラウドソーシングを利用して、依頼主の希望に応じた文章を作成することです。
ブログ風の記事であったり、まとめ記事であったり、リライト記事であったりと、内容は多岐にわたります。"
,,2,事務・管理,,,,,,,,,,,,,,,,,,,,,,,,,1,感じている,データ入力などのパソコンを使った事務処理全般や、飲食店などでの受付案内業務など。
,,,,,,,,,,,,,,8,ITエンジニア（システム開発・SE・インフラ） ,,,,,,,,,,,,,3,どちらかと言えば感じていない,"貿易会社で海外輸入販売、顧客対応、自社HP作成などに携わっております。
人口知能が進化しHP作成などのパソコン業務に人間が必要なくなった時は怖いですね、、。"
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,4,感じていない,学校に勤めているので、人が人とかかわりながら仕事を進めるので特に危機感はない。しかし、人工知能を使って学習問題を作ったり、教材を開発してくれればとても助かる。
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,2,どちらかと言えば感じている,事務系、アナウンサー、天気予報し
,,2,事務・管理,,,,,,,,,,,,,,,,,,,,,,,,,4,感じていない,電柱の申請書を作成する仕事。
,,2,事務・管理,,,,,,,,,,,,,,,,,,,,,,,,,1,感じている,タクシーやバス、トラックなどの運転手。法律さえ整えれば完全自動運転も夢物語ではなくなっている。
,,,,,,4,サービス・販売・外食 ,,,,,,,,,,,,,,,,,,,,,2,どちらかと言えば感じている,レジ打ちの仕事
,,2,事務・管理,,,,,,,,,,,,,,,,,,,,,,,,,1,感じている,"事務・経理・コールセンターのオペレーターなどの仕事はここ数年でAIに奪われて無くなると思います。
10年でなくなる職業と言われていますが、もっと加速するのではないでしょうか。
事務や経理は既にITで効率化が進んでいたので無くなってきてはいましたが、専門的な社会保険や税務などの計算、手続きなどはまだ人が行っています。
社会保険や税務などの専門分野もAIによって手続きや計算、チェックなど全て行えるので人はいらなくなると思います。
コールセンターのオペレーターも同様です。
AIは人の会話が理解できます。
人間のオペレーターにかわってAIが答えるようになっていくでしょう。
企業も人件費などコストを抑えるのにAIを導入して活用していくのではないでしょうか。人余りになると思います。
人間より短時間でミスなく経費もかかりませんからAIに奪われる職種はますます増えいていくと思います。"
,,,,,,,,5,Web・インターネット・ゲーム ,,,,,,,,,,,,,,,,,,,2,どちらかと言えば感じている,websiteの関連性の評価をしたり、音声認識に関する仕事をすることが多いので、もしそれが完成してしまったら、自分の仕事はなくなってしまうのでは思う。
,,2,事務・管理,,,,,,,,,,,,,,,,,,,,,,,,,1,感じている,単純作業（データ入力、データチェック等）の繰り返しは機械の方が正確かつ早く行えると思います。
,,2,事務・管理,,,,,,,,,,,,,,,,,,,12,建築・土木技術職 ,,,,,4,感じていない,設計、施工、維持管理アシスタント
,,,,,,,,,,,,,,8,ITエンジニア（システム開発・SE・インフラ） ,,,,,,,,,,,,,1,感じている,タクシー運転手やトラック運転手、公務員（役所職員など）、銀行員、ＳＥやプログラマー
,,,,,,,,,,,,,,,,,,,,11,医療・福祉・介護 ,,,,,,,4,感じていない,看護師です
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,2,どちらかと言えば感じている,医療関係の仕事や軍事関係の仕事などの、人命に直接関係する仕事。
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,3,どちらかと言えば感じていない,専業主婦
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,4,感じていない,あっているのかわかりませんが、食品製造工場で、物がラインで流れてきて、ロボットが重さを判別して仕分けたりするなど、人の手で行われてきた作業がロボットがしたり、車の工事のラインで、ロボットが決まった場所に扉をつけていくなどの仕事をAIと呼ぶのかと、思っています。
,,,,,,,,,,6,クリエイティブ（メディア・アパレル・デザイン） ,,,,,,,,,,,,,,,,,2,どちらかと言えば感じている,今まで出たデザインを、過去の記録から省いて新しいものを生み出せるようにする。
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,3,どちらかと言えば感じていない,"マニュアルやルーティーンが確立している仕事は機械化した方が効率がいいし、将来雇用が減るとは思います。
時として感情も必要なイレギュラー対応など、人間にしか判断できない場面が多い職種や、職人が手作りすることに価値のある商品の生産などは、どんなに機械化が進んでも人間にしかできない仕事だと思います。
機械で代替できる仕事が増えるのと同じくらい、人間がすることに価値のあると見直される仕事も増えると思うので、機械に仕事を奪われるという危機感はあまり感じていません。"
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,4,感じていない,漁業
,,2,事務・管理,,,,,,,,,,,,,,,,,,,,,,,,,2,どちらかと言えば感じている,情報処理
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,1,感じている,商品の管理や出荷の管理なのですが、人の手でやっている部分がAIに変わって仕事がなくなる日が近いと思います。
,,2,事務・管理,,,,,,,,,,,,,,,,,,,,,,,,,2,どちらかと言えば感じている,データ入力、リスト作成、アポイントの受付、DMの封入封緘発送業務
,,,,,,4,サービス・販売・外食 ,,,,,,,,,,,,,,,,,,,,,1,感じている,"レジ打ちですね
今でもセルフレジが導入されているので、レジを打つことが減っているのですが
万引きや不正対策のAIが出来、発達したら
レジカウンターに店員は必要なくなると思います"
,,2,事務・管理,,,,,,,,,,,,,,,,,,,,,,,,,1,感じている,事務的にただ処理すればよい仕事は、コンピュータが強いです。人員の削減は避けられないことでしょう。
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,2,どちらかと言えば感じている,コンビニやスーパーのレジ、レストランの接客係、タクシーやトラックの運転手等の仕事だと思います。
,,,,,,,,,,,,,,,,9,エンジニア（機械・電気・電子・半導体・制御） ,,,,,,,,,,,2,どちらかと言えば感じている,"スーパーやコンビニのレジ作業
倉庫などの在庫管理"
,,,,,,,,,,,,,,8,ITエンジニア（システム開発・SE・インフラ） ,,,,,,,,,,,,,1,感じている,保険会社のSEで、社内向けのシステムを作っているが、そのうち良いパッケージ商品などが出て来ないか心配している。
,,,,,,4,サービス・販売・外食 ,,,,,,,,,,,,,,,,,,,,,3,どちらかと言えば感じていない,アパレル
1,営業,,,,,,,,,,,,,,,,,,,,,,,,,,,3,どちらかと言えば感じていない,イベント内容をプレゼンして、受注に繋げる仕事です。
1,営業,,,,,,,,,,,,,,,,,,,,,,,,,,,4,感じていない,外回りの仕事をしていて人と人の関わりが重要なので今のところ危機感を感じていないです
,,,,,,4,サービス・販売・外食 ,,,,,,,,,,,,,,,,,,,,,2,どちらかと言えば感じている,スーパーのレジやコンビニのレジ。
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,4,感じていない,"専業主婦
以前は医療事務"
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,4,感じていない,保育の場ではまだ人間の方が優秀だと思います。
,,,,3,企画・マーケティング・経営・管理職 ,,,,,,,,,,,,,,,,,,,,,,,4,感じていない,工場勤務などの仕事は相当無くなると思います。
1,営業,,,,,,,,,,,,,,,,,,,,,,,,,,,1,感じている,集配などが機械で行われていることが徐々に増えていると聞いています。
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,1,感じている,翻訳（英語→日本語、日本語→英語）の仕事をしていますが、翻訳支援ツールや機械翻訳がかなり使える状態になってきているため、「大体の意味が分かればよい」という場合には機械翻訳で済むことが増えていると感じています。この傾向が強まると、翻訳の仕事が激減すると思います。
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,2,どちらかと言えば感じている,製造業、レジ、受付、ホテルフロント
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,3,どちらかと言えば感じていない,人と人とのふれあいに関しては人工知能の入っていけない領域だと感じる。
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,2,どちらかと言えば感じている,ピッキング作業、ライン製造オペレーター
,,,,,,4,サービス・販売・外食 ,,,,,,,,,,,,,,,,,,,,,3,どちらかと言えば感じていない,美容師をしています。クセや髪質によって細かなその時の判断が必要で機械には難しいと思います
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,3,どちらかと言えば感じていない,単純作業、仕分け、レジ
,,2,事務・管理,,,,,,,,,,,,,,,,,,,,,,,,,4,感じていない,"「奪われる」という考えそのものがおかしいと感じます。
日本人は働きすぎです。労働では過労、ブラック企業など様々な問題が溢れすぎています。
ベーシックインカムをして休む必要があるのであらゆる仕事はAIに任せるときが来ています。"
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,2,どちらかと言えば感じている,スーパーのレジ打ち。
,,,,,,4,サービス・販売・外食 ,,,,,,,,,,,,,,,,,,,,,2,どちらかと言えば感じている,電話オペレーターや会社の受付など。
,,,,,,,,,,,,,,,,,,,,,,,,13,技能工・設備・交通・運輸,,,1,感じている,教習所関連の仕事です。今は人間が自ら自動車を操作するという環境が当たり前なので運転免許は必要不可欠なものですが、自動運転技術が本格化すると運転免許の必要性がなくなり、免許取得人口の減少でつぶれる教習所が増えると言われています。ただでさえ少子化により１８歳人口が減り募集活動に苦労しているのに、自動運転となったら尚更深刻です。万が一仕事を辞めバスやタクシーなどの職業運転手に転職しても、自動運転の壁が立ちはだかっています。危機感を感じたら全く別分野の職業も覚悟しておかなければならないと感じています。
,,2,事務・管理,,,,,,,,,,,,,,,,,,,,,,,,,1,感じている,最近、スーパーなどのレジも、店員ではなくセルフレジが増えつつあります。その分機械の性能が優れてきているという証拠でもありますが、人件費の削減をしすぎて働く場が減少しているのも事実だと感じます。
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,2,どちらかと言えば感じている,"コンピューター技術が発展するにつてれ、AIの能力はどんどん高まっていると感じます。
ロボットだけで運営できるホテル、自宅におけるロボットなど、さまざま。
そんなAI知能が自ら発展していく世界になれば、もし「人間より私たちのほうが効率的・永久的にも動ける」と考えられてしまったらどうなるのか？
工場での精密な作業・料理店の調理・簡単な事務作業も人間は必要なくなる日がきてしまえば、一般的な仕事をになう私たちはどうするのか…
と、ニュースをみて思うことはたまにあります。"
,,,,,,,,5,Web・インターネット・ゲーム ,,,,,,,,,,,,,,,,,,,1,感じている,"建設業、製造業を中心とした肉体労働。
建設現場では金づちやカンナを使うような職人が減っています。
製造現場での人の役割は機械の動きを監視することです。"
1,営業,,,,,,,,,,,,,,,,,,,,,,,,,,,4,感じていない,人と会って人と会話をする仕事なので、入る余地はないでしょう。
,,,,,,,,5,Web・インターネット・ゲーム ,,,,,,,,,,,,,,,,,,,2,どちらかと言えば感じている,"現在美容・ファッション系の女性向けまとめサイトの記事ライターをしていますが、
「まとめサイトを見たり調べたりしなくてもAIが教えてくれる」という時代が来てもおかしくはないだろうなと思います。
また以前はアパレル販売員もしていましたが、
スーパーだけでなくアパレル店舗でもセルフレジを導入している所があり、
販売員の仕事が一つ奪われるのではないかと思います。
それにより時給や給料が下がってしまい、結果その業界で働く手が減る可能性も出てくるのではないでしょうか。"
,,,,,,,,,,,,,,,,,,,,,,,,13,技能工・設備・交通・運輸,,,4,感じていない,宅配サービス
,,2,事務・管理,,,,,,,,,,,,,,,,,,,,,,,,,1,感じている,レジの仕事とドライバーです
,,2,事務・管理,,,,,,,,,,,,,,,,,,,,,,,,,2,どちらかと言えば感じている,資料作成や情報登録などは、機械のプロミングによって人より確実正確に出来そうだから。
,,,,,,,,,,,,7,専門職（コンサルタント・士業・金融・不動産） ,,,,,,,,,,,,,,,2,どちらかと言えば感じている,作詞、作曲、編曲、演奏など楽曲制作
,,,,,,,,5,Web・インターネット・ゲーム ,,,,,,,,,,,,,,,,,,,2,どちらかと言えば感じている,オリジナリティが必要になるものではなく、基本的な動作や計算の応用だけでできるような汎用的なシステム開発や製造業、そして人の疲労度が問題になる運輸・運送業などが奪われるように感じます。
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,4,感じていない,出版翻訳
,,,,,,4,サービス・販売・外食 ,,,,,,,,,,,,,,,,,,,,,1,感じている,今はどこもセルフのお店が増えてきた為人間がしていたレジ打ちなどが機械の仕事になってきている。