0,"東京,京都,北海道"
1,北海道
2,"沖縄,北海道"
3,北海道
4,"沖縄,北海道"
5,東京
6,"沖縄,北海道"
7,京都
8,"東京,京都,北海道"
9,"東京,京都,北海道"
10,"京都,北海道"
11,"京都,沖縄"
12,"東京,京都,沖縄"
13,京都
14,"東京,京都"
15,"京都,沖縄,北海道"
16,"東京,京都,沖縄"
17,東京
18,京都
19,沖縄
20,"京都,北海道"
21,"東京,沖縄"
22,沖縄
23,"東京,京都"
24,京都
25,京都
26,"京都,沖縄"
27,"東京,沖縄"
28,東京
29,"京都,北海道"
30,"東京,沖縄"
31,北海道
32,東京
33,"京都,沖縄,北海道"
34,"京都,北海道"
35,京都
36,北海道
37,"京都,沖縄"
38,"東京,京都"
39,"沖縄,北海道"
40,"東京,京都,沖縄"
41,"東京,沖縄"
42,京都
43,東京
44,"東京,京都,北海道"
45,"東京,沖縄"
46,"東京,京都,北海道"
47,"東京,京都,沖縄"
48,北海道
49,"京都,沖縄"
50,"東京,京都,沖縄"
51,東京
52,"東京,沖縄"
53,"東京,京都"
54,"東京,京都,沖縄"
55,"京都,北海道"
56,"東京,京都,沖縄"
57,"沖縄,北海道"
58,"東京,北海道"
59,"東京,京都,沖縄"
60,"京都,北海道"
61,京都
62,"東京,沖縄"
63,沖縄
64,"東京,京都,沖縄"
65,北海道
66,"東京,沖縄"
67,"東京,京都,北海道"
68,"東京,京都,北海道"
69,"東京,京都"
70,沖縄
71,"東京,京都,沖縄"
72,沖縄
73,"京都,北海道"
74,"東京,京都"
75,"東京,沖縄"
76,"東京,京都"
77,沖縄
78,"東京,京都,沖縄,北海道"
79,"京都,北海道"
80,"東京,京都,沖縄,北海道"
81,京都
82,"東京,京都,北海道"
83,"沖縄,北海道"
84,"東京,京都,沖縄"
85,"沖縄,北海道"
86,"東京,沖縄"
87,"京都,北海道"
88,"京都,沖縄"
89,京都
90,"京都,沖縄"
91,"沖縄,北海道"
92,"京都,沖縄"
93,沖縄
94,"京都,沖縄,北海道"
95,沖縄
96,"京都,北海道"
97,沖縄
98,京都
99,"東京,沖縄"